code,name_english,description_english,name_french,description_french
11-2021,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",Responsables Marketing,"Planifier, diriger ou coordonner des politiques et des programmes de marketing, comme déterminer la demande de produits et de services offerts par une entreprise et ses concurrents, et identifier des clients potentiels. Élaborer des stratégies de tarification dans le but de maximiser les profits ou la part de marché de l'entreprise tout en veillant à ce que les clients de l'entreprise soient satisfaits. Superviser le développement de produits ou surveiller les tendances qui indiquent le besoin de nouveaux produits et services."
11-2022,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",Directeurs des ventes,"Planifier, diriger ou coordonner la distribution ou le mouvement réel d'un produit ou d'un service au client. Coordonner la distribution des ventes en établissant des territoires de vente, des quotas et des objectifs et établir des programmes de formation pour les représentants des ventes. Analyser les statistiques de vente recueillies par le personnel pour déterminer le potentiel de vente et les exigences en matière d'inventaire et surveiller les préférences des clients."
11-203,Public Relations and Fundraising Managers,,Gestionnaires des relations publiques et de la collecte de fonds,
11-2032,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",Gestionnaires des relations publiques,"Planifier, diriger ou coordonner des activités conçues pour créer ou maintenir une image publique favorable ou sensibiliser leur organisation ou leur client à des problèmes."
11-2033,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",Gestionnaires de collecte de fonds,"Planifier, diriger ou coordonner des activités pour solliciter et maintenir des fonds pour des projets spéciaux ou des organismes à but non lucratif."
11-3,Operations Specialties Managers,,Gestionnaires des spécialités opérationnelles,
11-301,Administrative Services and Facilities Managers,,Gestionnaires des services administratifs et des installations,
11-3012,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services. Medical records administrators are included in ""Medical and Health Services Managers"" (11-9111). Excludes ""Facilities Managers"" (11-3013) and ""Purchasing Managers"" (11-3061).",Gestionnaires des services administratifs,"Planifier, diriger ou coordonner un ou plusieurs services administratifs d'une organisation, tels que la gestion des dossiers et de l'information, la distribution du courrier et d'autres services de soutien administratif. Les administrateurs de dossiers médicaux sont inclus dans les « Gestionnaires des services médicaux et de santé » (11-9111). Exclut les « gestionnaires des installations » (11-3013) et les « gestionnaires des achats » (11-3061)."
11-3013,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus. Excludes ""Administrative Services Managers"" (11-3012), ""Property, Real Estate, and Community Association Managers"" (11-9141), ""First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers"" (37-1010), ""First-Line Supervisors of Mechanics and Repairers"" (49-1011), and ""Maintenance and Repair Workers, General"" (49-9071).",Gestionnaires d'installations,"Planifier, diriger ou coordonner les opérations et les fonctionnalités des installations et des bâtiments. Peut inclure des terrains environnants ou plusieurs installations du campus d'une organisation. Exclut les « gestionnaires des services administratifs » (11-3012), les « gestionnaires des biens, de l'immobilier et des associations communautaires » (11-9141), les « superviseurs de première ligne des travailleurs du nettoyage et de l'entretien des bâtiments et des terrains » (37-1010), les « superviseurs de première ligne des mécaniciens et des réparateurs » (49-1011) et les « travailleurs de l'entretien et de la réparation, général » (49-9071)."
11-302,Computer and Information Systems Managers,,Gestionnaires de l'informatique et des systèmes d'information,
11-3021,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming. Excludes ""Computer Occupations"" (15-1211 through 15-1299).",Gestionnaires de l'informatique et des systèmes d'information,"Planifier, diriger ou coordonner des activités dans des domaines tels que le traitement électronique des données, les systèmes d'information, l'analyse des systèmes et la programmation informatique. Exclut les « Professions informatiques » (15-1211 à 15-1299)."
11-303,Financial Managers,,Gestionnaires financiers,
11-3031,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment. Excludes ""Financial Risk Specialists"" (13-2054).",Gestionnaires financiers,"Planifier, diriger ou coordonner la comptabilité, l'investissement, les services bancaires, les assurances, les valeurs mobilières et d'autres activités financières d'une succursale, d'un bureau ou d'un service d'un établissement. À l'exclusion des « spécialistes des risques financiers » (13-2054)."
11-305,Industrial Production Managers,,Directeurs de production industrielle,
11-3051,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",Directeurs de production industrielle,"Planifier, diriger ou coordonner les activités de travail et les ressources nécessaires à la fabrication des produits conformément aux spécifications de coût, de qualité et de quantité."
11-306,Purchasing Managers,,Responsables achats,
11-3061,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",Responsables achats,"Planifier, diriger ou coordonner les activités des acheteurs, des agents d'achat et des travailleurs connexes impliqués dans l'achat de matériaux, de produits et de services. Comprend les gestionnaires de marchandisage du commerce de gros ou de détail et les gestionnaires d'approvisionnement."
11-307,"Transportation, Storage, and Distribution Managers",,"Gestionnaires du transport, de l'entreposage et de la distribution",
11-3071,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.","Gestionnaires du transport, de l'entreposage et de la distribution","Planifier, diriger ou coordonner les activités de transport, d'entreposage ou de distribution conformément aux politiques organisationnelles et aux lois ou règlements gouvernementaux applicables. Comprend les gestionnaires de la logistique."
11-311,Compensation and Benefits Managers,,Gestionnaires de la rémunération et des avantages sociaux,
11-3111,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization. Job analysis and position description managers are included in ""Human Resources Managers"" (11-3121).",Gestionnaires de la rémunération et des avantages sociaux,"Planifier, diriger ou coordonner les activités de rémunération et d'avantages sociaux d'une organisation. Les gestionnaires d'analyse de poste et de description de poste sont inclus dans « Gestionnaires des ressources humaines » (11-3121)."
11-312,Human Resources Managers,,Gestionnaires des ressources humaines,
11-3121,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization. Excludes managers who primarily focus on compensation and benefits (11-3111) and training and development (11-3131).",Gestionnaires des ressources humaines,"Planifier, diriger ou coordonner les activités de ressources humaines et le personnel d'une organisation. Exclut les gestionnaires qui se concentrent principalement sur la rémunération et les avantages sociaux (11-3111) et sur la formation et le perfectionnement (11-3131)."
11-313,Training and Development Managers,,Gestionnaires de la formation et du perfectionnement,
11-3131,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",Gestionnaires de la formation et du perfectionnement,"Planifier, diriger ou coordonner les activités de formation et de perfectionnement et le personnel d'une organisation."
11-9,Other Management Occupations,,Autres professions de gestion,
11-901,"Farmers, Ranchers, and Other Agricultural Managers",,"Agriculteurs, éleveurs et autres gestionnaires agricoles",
11-9013,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities. Excludes ""First-Line Supervisors of Farming, Fishing, and Forestry Workers"" (45-1011).","Agriculteurs, éleveurs et autres gestionnaires agricoles","Planifier, diriger ou coordonner la gestion ou l'exploitation de fermes, de ranchs, de serres, d'opérations aquacoles, de pépinières, de parcelles de bois ou d'autres établissements agricoles. Peut embaucher, former et superviser des travailleurs agricoles ou contracter des services pour mener à bien les activités quotidiennes de l'exploitation gérée. Peut s'engager ou superviser des activités de plantation, de culture, de récolte, de financement et de commercialisation. Exclut les « superviseurs de première ligne des travailleurs de l'agriculture, de la pêche et des forêts » (45-1011)."
11-902,Construction Managers,,Gestionnaires de la construction,
11-9021,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",Gestionnaires de la construction,"Planifier, diriger ou coordonner, habituellement par l'intermédiaire d'un personnel de supervision subordonné, les activités liées à la construction et à l'entretien des structures, des installations et des systèmes. Participer à l'élaboration conceptuelle d'un projet de construction et superviser son organisation, sa planification, sa budgétisation et sa mise en œuvre. Comprend des gestionnaires dans des domaines de construction spécialisés, tels que la menuiserie ou la plomberie."
11-903,Education and Childcare Administrators,,Administrateurs de l'éducation et de la garde d'enfants,
11-9031,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care. Excludes ""Preschool Teachers, Except Special Education"" (25-2011) and ""Childcare Workers"" (39-9011).","Administrateurs de l'éducation et de la garde d'enfants, préscolaires et garderies","Planifier, diriger ou coordonner les activités académiques ou non académiques des écoles maternelles ou des centres et programmes de garde d'enfants, y compris les services de garde avant et après l'école. Exclut les « enseignants préscolaires, sauf l'éducation de l'enfance en difficulté » (25-2011) et les « travailleurs des services de garde d'enfants » (39-9011)."
11-9032,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.","Administrateurs de l'éducation, de la maternelle au secondaire","Planifier, diriger ou coordonner les activités académiques, administratives ou auxiliaires des écoles maternelles, élémentaires ou secondaires."
11-9033,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.","Administrateurs de l'éducation, études postsecondaires","Planifier, diriger ou coordonner l'enseignement, l'administration et les services aux étudiants, ainsi que d'autres activités de recherche et d'éducation, dans les établissements postsecondaires, y compris les universités, les collèges et les collèges juniors et communautaires."
11-9039,"Education Administrators, All Other",All education administrators not listed separately.,"Administrateurs de l'éducation, tous les autres",Tous les administrateurs de l'éducation ne sont pas répertoriés séparément.
11-904,Architectural and Engineering Managers,,Gestionnaires de l'architecture et de l'ingénierie,
11-9041,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields. Excludes ""Natural Sciences Managers"" (11-9121).",Gestionnaires de l'architecture et de l'ingénierie,"Planifier, diriger ou coordonner des activités dans des domaines tels que l'architecture et l'ingénierie ou la recherche et le développement dans ces domaines. Exclut les « gestionnaires des sciences naturelles » (11-9121)."
11-905,Food Service Managers,,Gestionnaires des services alimentaires,
11-9051,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages. Excludes ""Chefs and Head Cooks"" (35-1011).",Gestionnaires des services alimentaires,"Planifier, diriger ou coordonner les activités d'une organisation ou d'un service qui sert des aliments et des boissons. Exclut les « chefs et chefs cuisiniers » (35-1011)."
11-907,Entertainment and Recreation Managers,,Gestionnaires du divertissement et des loisirs,
11-9071,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",Gestionnaires de jeux d'argent,"Planifiez, dirigez ou coordonnez les opérations de jeu dans un casino. Peut formuler des règles de la maison."
11-9072,"Entertainment and Recreation Managers, Except Gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.","Gestionnaires de divertissement et de loisirs, à l'exception des jeux de hasard","Planifier, diriger ou coordonner les activités de divertissement et récréatives et les opérations d'une installation récréative, y compris les navires de croisière et les parcs."
11-908,Lodging Managers,,Gestionnaires d'hébergement,
11-9081,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations. Excludes ""Food Service Managers"" (11-9051) in lodging establishments.",Gestionnaires d'hébergement,"Planifier, diriger ou coordonner les activités d'une organisation ou d'un service qui fournit des logements et d'autres mesures d'adaptation. À l'exclusion des « gestionnaires des services alimentaires » (11-9051) dans les établissements d'hébergement."
11-911,Medical and Health Services Managers,,Gestionnaires des services médicaux et de santé,
11-9111,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",Gestionnaires des services médicaux et de santé,"Planifier, diriger ou coordonner les services médicaux et de santé dans les hôpitaux, les cliniques, les organismes de soins gérés, les organismes de santé publique ou des organismes similaires."
11-912,Natural Sciences Managers,,Gestionnaires des sciences naturelles,
11-9121,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields. Excludes ""Computer and Information Systems Managers"" (11-3021) and ""Architecture and Engineering Managers"" (11-9041).",Gestionnaires des sciences naturelles,"Planifier, diriger ou coordonner des activités dans des domaines tels que les sciences de la vie, les sciences physiques, les mathématiques, les statistiques et la recherche et le développement dans ces domaines. Exclut les « gestionnaires de l'informatique et des systèmes d'information » (11-3021) et les « gestionnaires de l'architecture et de l'ingénierie » (11-9041)."
11-913,Postmasters and Mail Superintendents,,Maîtres de poste et surintendants du courrier,
11-9131,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",Maîtres de poste et surintendants du courrier,"Planifier, diriger ou coordonner les services opérationnels, administratifs, de gestion et de soutien d'un bureau de poste américain; ou coordonner les activités des travailleurs affectés aux postes et aux travaux connexes dans les bureaux de poste assignés."
11-914,"Property, Real Estate, and Community Association Managers",,"Gestionnaires de biens immobiliers, d'immeubles et d'associations communautaires",
11-9141,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).","Gestionnaires de biens immobiliers, d'immeubles et d'associations communautaires","Planifier, diriger ou coordonner les activités de vente, d'achat, de location ou de gouvernance de biens immobiliers commerciaux, industriels ou résidentiels. Comprend les gestionnaires d'associations de propriétaires et de copropriétaires, d'unités de logement, d'immeubles ou de terrains loués ou loués (y compris les emprises)."
11-915,Social and Community Service Managers,,Gestionnaires des services sociaux et communautaires,
11-9151,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",Gestionnaires des services sociaux et communautaires,"Planifier, diriger ou coordonner les activités d'un programme de services sociaux ou d'un organisme de sensibilisation communautaire. Superviser le budget et les politiques du programme ou de l'organisation concernant la participation des participants, les exigences du programme et les avantages. Le travail peut impliquer de diriger des travailleurs sociaux, des conseillers ou des agents de probation."
11-916,Emergency Management Directors,,Directeurs de la gestion des urgences,
11-9161,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",Directeurs de la gestion des urgences,"Planifier et diriger les activités d'intervention en cas de catastrophe ou de gestion des crises, fournir une formation sur la préparation aux catastrophes et préparer des plans et des procédures d'urgence pour les catastrophes naturelles (p. ex., ouragans, inondations, tremblements de terre), en temps de guerre ou technologiques (p. ex., urgences dans les centrales nucléaires ou déversements de matières dangereuses) ou les situations d'otages."
11-917,Personal Service Managers,,Gestionnaires de services personnels,
11-9171,Funeral Home Managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes. Excludes ""Morticians, Undertakers, and Funeral Arrangers"" (39-4031).",Gestionnaires de salons funéraires,"Planifier, diriger ou coordonner les services ou les ressources des salons funéraires. Comprend des activités telles que la détermination des prix des services ou des marchandises et la gestion des installations des salons funéraires. Exclut « morticiens, pompes funèbres et arrangeurs de funérailles » (39-4031)."
11-9179,"Personal Service Managers, All Other","All personal service managers not listed separately. Excludes ""Financial Specialists"" (13-2000). Daycare Managers are included in Education and Childcare Administrators, Preschool and Daycare (11-9031).","Gestionnaires de services personnels, tous les autres","Tous les gestionnaires de services personnels ne sont pas répertoriés séparément. À l'exclusion des « spécialistes financiers » (13-2000). Les gestionnaires de garderies sont inclus dans Administrateurs de l'éducation et des services de garde, Préscolaire et garderie (11-9031)."
11-919,Miscellaneous Managers,,Gestionnaires divers,
11-9199,"Managers, All Other",All managers not listed separately.,"Gestionnaires, Tous les autres",Tous les gestionnaires ne sont pas répertoriés séparément.
13-1,Business Operations Specialists,,Spécialistes des opérations commerciales,
13-101,"Agents and Business Managers of Artists, Performers, and Athletes",,"Agents et chefs d'entreprise d'artistes, d'artistes et d'athlètes",
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.","Agents et chefs d'entreprise d'artistes, d'artistes et d'athlètes","Représenter et promouvoir les artistes, les interprètes et les athlètes dans leurs relations avec des employeurs actuels ou potentiels. Peut s'occuper de la négociation de contrats et d'autres questions commerciales pour les clients."
13-102,Buyers and Purchasing Agents,,Acheteurs et agents d'achat,
13-1021,"Buyers and Purchasing Agents, Farm Products","Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts.","Acheteurs et agents d'achat, Produits agricoles","Achetez des produits agricoles pour une transformation ultérieure ou une revente. Comprend les entrepreneurs en fermes arboricoles, les courtiers en grains et les exploitants de marchés, les acheteurs de grains et les acheteurs de tabac. Peut négocier des contrats."
13-1022,"Wholesale and Retail Buyers, Except Farm Products","Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products. Excludes ""Procurement Clerks"" (43-3061).","Acheteurs en gros et au détail, à l'exception des produits agricoles","Acheter des marchandises ou des produits de base, autres que des produits agricoles, pour les revendre aux consommateurs au niveau du commerce de gros ou de détail, y compris les biens durables et non durables. Analysez les tendances d'achat passées, les records de vente, le prix et la qualité de la marchandise pour déterminer la valeur et le rendement. Sélectionnez, commandez et autorisez le paiement de la marchandise conformément aux accords contractuels. Peut organiser des réunions avec le personnel de vente et présenter de nouveaux produits. Peut négocier des contrats. Comprend les acheteurs adjoints en gros et au détail de produits non agricoles. À l'exclusion des « commis aux achats » (43-3061)."
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts. Excludes ""Buyers and Purchasing Agents, Farm Products"" (13-1021) and ""Wholesale and Retail Buyers, Except Farm Products"" (13-1022).","Agents d'achat, à l'exception des produits de gros, de détail et agricoles","Acheter de la machinerie, de l'équipement, des outils, des pièces, des fournitures ou des services nécessaires au fonctionnement d'un établissement. Achetez des matières premières ou semi-finies pour la fabrication. Peut négocier des contrats. Exclut les « Acheteurs et agents d'achat, produits agricoles » (13-1021) et « Acheteurs en gros et au détail, à l'exception des produits agricoles » (13-1022)."
13-103,"Claims Adjusters, Appraisers, Examiners, and Investigators",,"Experts en sinistres, évaluateurs, examinateurs et enquêteurs",
13-1031,"Claims Adjusters, Examiners, and Investigators","Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims. Excludes ""Fire Inspectors and Investigators"" (33-2021).","Experts en sinistres, examinateurs et enquêteurs",Examiner les réclamations réglées pour déterminer que les paiements et les règlements sont effectués conformément aux pratiques et procédures de l'entreprise. Conférer avec un conseiller juridique sur les réclamations nécessitant un litige. Peut également régler les réclamations d'assurance. Exclut les « inspecteurs et enquêteurs des incendies » (33-2021).
13-1032,"Insurance Appraisers, Auto Damage",Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,"Évaluateurs d'assurance, Dommages automobiles",Évaluer les dommages causés aux automobiles ou à d'autres véhicules afin de déterminer les coûts de réparation pour le règlement des réclamations d'assurance. Préparez des formulaires d'assurance pour indiquer les coûts de réparation ou les estimations et recommandations de coûts. Peut demander un accord avec l'atelier de réparation automobile sur les coûts de réparation.
13-104,Compliance Officers,,Responsables de la conformité,
13-1041,Compliance Officers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere. Excludes ""Financial Examiners"""" (13-2061), ""Tax Examiners and Collectors, and Revenue Agents"" (13-2081), ""Occupational Health and Safety Specialists"" (19-5011), ""Occupational Health and Safety Technicians"" (19-5012), ""Transportation Security Screeners"" (33-9093), ""Agricultural Inspectors"" (45-2011), ""Construction and Building Inspectors"" (47-4011), and ""Transportation Inspectors"" (53-6051",Responsables de la conformité,"Examiner, évaluer et enquêter sur l'admissibilité ou la conformité aux lois et règlements régissant la conformité contractuelle des licences et des permis, et effectuer d'autres activités d'inspection et d'analyse de la conformité et de l'application de la loi qui ne sont pas classées ailleurs. Exclut les « examinateurs financiers » (13-2061), les « examinateurs et percepteurs fiscaux et les agents du revenu » (13-2081), les « spécialistes de la santé et de la sécurité au travail » (19-5011), les « techniciens en santé et sécurité au travail » (19-5012), les « agents de contrôle de la sécurité des transports » (33-9093), les « inspecteurs agricoles » (45-2011), les « inspecteurs en construction et en bâtiment » (47-4011) et les « inspecteurs des transports » (53-6051)."
13-105,Cost Estimators,,Estimateurs de coûts,
13-1051,Cost Estimators,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.",Estimateurs de coûts,"Préparer des estimations de coûts pour la fabrication de produits, les projets de construction ou les services afin d'aider la direction à soumissionner ou à déterminer le prix du produit ou du service. Peut se spécialiser en fonction d'un service particulier effectué ou d'un type de produit fabriqué."
13-107,Human Resources Workers,,Travailleurs des ressources humaines,
13-1071,Human Resources Specialists,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas. Excludes ""Compensation, Benefits, and Job Analysis Specialists"" (13-1141) and ""Training and Development Specialists"" (13-1151).",Spécialistes des ressources humaines,"Recrutez, sélectionnez, interviewez ou placez des personnes au sein d'une organisation. Peut effectuer d'autres activités dans plusieurs domaines des ressources humaines. Exclut les « spécialistes de la rémunération, des avantages sociaux et de l'analyse de l'emploi » (13-1141) et les « spécialistes de la formation et du perfectionnement » (13-1151)."
13-1074,Farm Labor Contractors,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers.",Entrepreneurs en main-d'œuvre agricole,"Recruter et embaucher des ouvriers agricoles saisonniers ou temporaires. Peut transporter, loger et fournir des repas aux travailleurs."
13-1075,Labor Relations Specialists,"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints. Excludes equal employment opportunity (EEO) officers, who are included in ""Compliance Officers"" (13-1041).",Spécialistes des relations de travail,"Résoudre les différends entre les travailleurs et les gestionnaires, négocier des conventions collectives ou coordonner les procédures de règlement des griefs pour traiter les plaintes des employés. Exclut les agents de l'égalité des chances en matière d'emploi (EEO), qui sont inclus dans les « agents de conformité » (13-1041)."
13-108,Logisticians and Project Management Specialists,,Logisticiens et spécialistes en gestion de projet,
