code,name_english,name_french
13-2011,Internal Auditor,Auditeur interne
13-2022,Estate Appraiser,Évaluateur immobilier
13-2022,Machinery Appraiser,Évaluateur de machines
13-2022,Personal Property Assessor,Évaluateur des biens personnels
13-2023,Real Estate Appraiser,Évaluateur immobilier
13-2023,Real Estate Assessor,Évaluateur immobilier
13-2031,Budget Examiner,Examinateur budgétaire
13-2031,Budget Officer,Agent du budget
13-2031,Cost Analyst,Analyste des coûts
13-2041,Credit Assessment Analyst,Analyste en évaluation de crédit
13-2041,Credit Risk Analyst,Analyste du risque de crédit
13-2051,Corporate Financial Analyst,Analyste financier d'entreprise
13-2051,Corporate Securities Research Analyst,Analyste de recherche en valeurs mobilières d'entreprise
13-2051,Institutional Commodity Analyst,Analyste institutionnel des matières premières
13-2051,Organizational Investment Analyst,Analyste en investissement organisationnel
13-2052,Estate Planner,Planificateur successoral
13-2052,Individual Pension Adviser,Conseiller en pension individuelle
13-2052,Personal Investment Adviser,Conseiller en placement personnel
13-2053,Automobile and Property Underwriter,Assureur automobile et immobilier
13-2053,Bond Underwriter,Souscripteur d'obligations
13-2053,Insurance Analyst,Analyste en assurance
13-2054,Financial Risk Analyst,Analyste des risques financiers
13-2061,Bank Examiner,Examinateur de banque
13-2061,Financial Compliance Examiner,Examinateur de la conformité financière
13-2061,Home Mortgage Disclosure Act Specialist,Spécialiste de la Loi sur la divulgation des prêts hypothécaires résidentiels
13-2071,Debt Management Counselor,Conseiller en gestion de la dette
13-2071,Student Financial Aid Counselor,Conseiller en aide financière aux étudiants
13-2071,Student Loan Counselor,Conseiller en prêts étudiants
13-2072,Commercial Lender,Prêteur commercial
13-2072,Loan Reviewer,Examinateur de prêt
13-2072,Payday Loan Officer,Agent de prêt sur salaire
13-2072,Real Estate Loan Officer,Agent de prêt immobilier
13-2081,Internal Revenue Service Agent,Agent de l'Internal Revenue Service
13-2081,Revenue Collector,Percepteur de recettes
13-2081,Tax Investigator,Enquêteur fiscal
13-2082,Income Tax Advisor,Conseiller en impôt sur le revenu
13-2082,Income Tax Preparer,Préparateur de déclarations de revenus
13-2082,Licensed Tax Consultant,Conseiller fiscal agréé
13-2099,Bail Bondsman,Cautionneur
15-1211,Applications Analyst,Analyste d'applications
15-1211,Data Processing Systems Analyst,Analyste des systèmes de traitement des données
15-1211,Information Systems Analyst,Analyste des systèmes d'information
15-1211,Systems Architect,Architecte système
15-1212,Computer Security Specialist,Spécialiste en sécurité informatique
15-1212,IT Risk Specialist,Spécialiste des risques informatiques
15-1212,Network Security Analyst,Analyste de la sécurité réseau
15-1221,Computational Theory Scientist,Scientifique en théorie computationnelle
15-1221,Control System Computer Scientist,Informaticien du système de contrôle
15-1221,Programming Methodology and Languages Researcher,Chercheur en méthodologie de programmation et en langages
15-1231,Network Diagnostic Support Specialist,Spécialiste de l'assistance au diagnostic réseau
15-1231,Network Support Technician,Technicien de support réseau
15-1231,Network Technician,Technicien réseau
15-1232,End-User Support Specialist,Spécialiste du support aux utilisateurs finaux
15-1232,Help Desk Technician,Technicien du service d'assistance
15-1232,IT Support Specialist,Spécialiste du support informatique
15-1241,Computer Network Engineer,Ingénieur réseau informatique
15-1241,Network Designer,Concepteur de réseau
15-1241,Network Developer,Développeur réseau
15-1242,Database Programmer,Programmeur de base de données
15-1242,Database Security Administrator,Administrateur de la sécurité de la base de données
15-1243,Data Architect,Architecte de données
15-1243,Data Integration Specialist,Spécialiste de l'intégration de données
15-1243,Data Warehousing Specialist,Spécialiste de l'entreposage de données
15-1243,Database Developer,Développeur de base de données
15-1244,Network Analyst,Analyste de réseau
15-1244,Network Coordinator,Coordonnatrice du réseau
15-1244,Wide Area Network Administrator,Administrateur de réseau étendu
15-1251,Applications Programmer,Programmeur d'applications
15-1251,Computer Language Coder,Codeur de langage informatique
15-1251,IT Programmer,Programmeur informatique
15-1251,Systems Programmer,Programmeur de systèmes
15-1252,Computer Applications Engineer,Ingénieur d'applications informatiques
15-1252,Computer Systems Engineer,Ingénieur systèmes informatiques
15-1252,Mobile Applications Developer,Développeur d'applications mobiles
15-1252,Software Applications Architect,Architecte d'applications logicielles
15-1252,Software Engineer,Ingénieur logiciel
15-1252,Systems Software Developer,Développeur de logiciels systèmes
15-1253,Applications Tester,Testeur d'applications
15-1253,Software Quality Assurance Technician,Technicien en assurance qualité logicielle
15-1253,Software Quality Control Specialist,Spécialiste du contrôle de la qualité des logiciels
15-1253,Software Quality Engineer,Ingénieur Qualité Logiciel
15-1253,Software Test Engineer,Ingénieur de test logiciel
15-1254,Intranet Developer,Développeur Intranet
15-1254,Web Applications Developer,Développeur d'applications Web
15-1254,Web Architect,Architecte Web
15-1255,Digital Designer,Concepteur numérique
15-1255,Graphic Web Designer,Graphiste Web Designer
15-1255,Web Content Specialist,Spécialiste du contenu Web
15-1299,Computer Console Operator,Opérateur de console d'ordinateur
15-1299,Computer Laboratory Technician,Technicien de laboratoire en informatique
15-1299,Data Center Operator,Opérateur de centre de données
15-2011,Actuarial Mathematician,Mathématicien actuariel
15-2011,Health Actuary,Actuaire de la santé
15-2011,Insurance Actuary,Actuaire d'assurance
15-2021,Algebraist,Algebraist
15-2021,Cryptographer,Cryptographer
15-2021,Cryptographic Vulnerability Analyst,Analyste des vulnérabilités cryptographiques
15-2031,Operations Analyst,Analyste des opérations
15-2031,Procedure Analyst,Analyste de procédures
15-2031,Process Analyst,Analyste de processus
15-2041,Biostatistician,Biostatisticien
15-2041,Statistical Analyst,Analyste statistique
15-2041,Time Study Statistician,Statisticien d'études du temps
15-2051,Business Intelligence Developer,Développeur Business Intelligence
15-2051,Data Analytics Specialist,Spécialiste en analyse de données
15-2051,Data Mining Analyst,Analyste d'exploration de données
15-2051,Data Visualization Developer,Développeur de visualisation de données
15-2099,Harmonic Analyst,Analyste harmonique
15-2099,Mathematical Engineering Technician,Technicien en génie mathématique
17-1011,Building Architect,Architecte du bâtiment
17-1011,Building Architectural Designer,Concepteur d'architecture de bâtiment
17-1011,Structural Architect,Architecte structurel
17-1012,Golf Course Architect,Architecte de terrain de golf
17-1012,Golf Course Designer,Concepteur de parcours de golf
17-1012,Landscape Designer,Paysagiste
17-1021,Digital Cartographer,Cartographe numérique
17-1021,Mapper,Cartographe
17-1021,Topographer,Topographe
17-1022,Geodetic Surveyor,Géomètre géodésique
17-1022,Land Surveyor,Arpenteur-géomètre
17-1022,Mineral Surveyor,Arpenteur-géomètre minéral
17-2011,Aeronautical Engineer,Ingénieur aéronautique
17-2011,Aircraft Design Engineer,Ingénieur en conception d'aéronefs
17-2011,Flight Test Engineer,Ingénieur d'essais en vol
17-2021,Agricultural Production Engineer,Ingénieur en production agricole
17-2021,Agricultural Research Engineer,Ingénieur de recherche agronomique
17-2021,Farm Equipment Engineer,Ingénieur en équipement agricole
17-2031,Biomaterials Engineer,Ingénieur Biomatériaux
17-2031,Bio-Mechanical Engineer,Ingénieur en biomécanique
17-2031,Dialysis Engineer,Ingénieur dialyse
17-2041,Fuels Engineer,Ingénieur carburants
17-2041,Plastics Engineer,Ingénieur en plasturgie
17-2041,Polymerization Engineer,Ingénieur en polymérisation
17-2051,Bridge Engineer,Ingénieur pont
17-2051,Construction Engineer,Ingénieur en construction
17-2051,Highway Engineer,Ingénieur routier
17-2061,Computer Hardware Designer,Concepteur de matériel informatique
17-2061,Computer Hardware Developer,Développeur de matériel informatique
17-2071,Electrical Systems Engineer,Ingénieur en systèmes électriques
17-2071,Illuminating Engineer,Ingénieur éclairant
17-2071,Power Distribution Engineer,Ingénieur en distribution d'énergie
17-2072,Circuit Design Engineer,Ingénieur en conception de circuits
17-2072,Electronic Design Automation Engineer,Ingénieur en automatisation de la conception électronique
17-2072,Telecommunication Engineer,Ingénieur en télécommunications
17-2081,Environmental Remediation Engineer,Ingénieur en assainissement de l'environnement
17-2081,Pollution Control Engineer,Ingénieur en contrôle de la pollution
17-2081,Soil Engineer,Ingénieur en sol
17-2081,Water Treatment Plant Engineer,Ingénieur en usine de traitement de l'eau
17-2111,Fire Protection Engineer,Ingénieur en protection incendie
17-2111,Industrial Safety Engineer,Ingénieur en sécurité industrielle
17-2111,Product Safety Engineer,Ingénieur en sécurité des produits
17-2112,Efficiency Engineer,Ingénieur Efficacité
17-2112,Manufacturing Engineer,Ingénieur de fabrication
17-2112,Packaging Engineer,Ingénieur emballage
17-2112,Production Engineer,Ingénieur de production
17-2121,Marine Architect,Architecte marin
17-2121,Marine Structural Designer,Concepteur de structures marines
17-2121,Naval Engineer,Ingénieur naval
17-2131,Automotive Sheet Metal Engineer,Ingénieur en tôle automobile
17-2131,Forensic Materials Engineer,Ingénieur en matériaux médico-légaux
17-2131,Metallographer,Métallographe
17-2141,Combustion Engineer,Ingénieur en combustion
17-2141,Engine Designer,Concepteur de moteur
17-2141,Heating and Cooling Systems Engineer,Ingénieur en systèmes de chauffage et de refroidissement
17-2141,Tool and Die Engineer,Ingénieur outillage et matrice
17-2151,Geophysical Engineer,Ingénieur géophysique
17-2151,Mineral Engineer,Ingénieur minéral
17-2151,Seismic Engineer,Ingénieur sismique
17-2161,Atomic Process Engineer,Ingénieur en procédés atomiques
17-2161,Nuclear Radiation Engineer,Ingénieur en radiation nucléaire
17-2161,Radiation Engineer,Ingénieur en radiation
17-2161,Reactor Engineer,Ingénieur réacteur
17-2171,Natural Gas Engineer,Ingénieur en gaz naturel
17-2171,Oil Drilling Engineer,Ingénieur en forage pétrolier
17-2171,Oil Exploration Engineer,Ingénieur en exploration pétrolière
17-2199,Calibration Engineer,Ingénieur en étalonnage
17-2199,Metrologist,Métrologue
17-2199,Optical Engineer,Ingénieur en optique
17-2199,Ordnance Engineer,Ingénieur en munitions
17-2199,Photonics Engineer,Ingénieur Photonique
17-2199,Salvage Engineer,Ingénieur de sauvetage
17-3011,Building Drafter,Dessinateur de bâtiment
17-3011,Civil Computer-Aided Design and Drafting Technician,Technicien civil de conception et de dessin assistés par ordinateur
17-3011,Structural Drafter,Dessinateur structurel
17-3012,Electrical Computer Aided Design and Drafting Technician,Technicien en conception et dessin assistés par ordinateur électrique
17-3012,Electrical Systems Drafter,Dessinateur de systèmes électriques
17-3012,Printed Circuit Board Drafter,Dessinateur de carte de circuit imprimé
17-3013,Aeronautical Drafter,Dessinateur aéronautique
17-3013,Automotive Design Drafter,Dessinateur de conception automobile
17-3013,Tool and Die Designer,Concepteur d'outils et de matrices
17-3019,Blueprint Tracer,Traceur de blueprint
17-3019,Geological Drafter,Dessinateur géologique
17-3019,Marine Drafter,Dessinateur maritime
17-3021,Altitude Chamber Technician,Technicien de chambre d'altitude
17-3021,Flight Data Technician,Technicien en données de vol
17-3021,Wind Tunnel Technician,Technicien en soufflerie
17-3022,Geotechnical Engineering Technician,Technicien en génie géotechnique
17-3022,Highway Engineering Technician,Technicien en génie routier
17-3022,Structural Engineering Technician,Technicien en génie des structures
17-3023,Electrical Design Technician,Technicien en conception électrique
17-3023,Lighting Engineering Technician,Technicien en génie de l'éclairage
17-3023,Semiconductor Development Technician,Technicien en développement de semi-conducteurs
17-3024,Mechatronics Technician,Technicien en mécatronique
17-3024,Remotely Piloted Vehicle Engineering Technician,Technicien en ingénierie de véhicules télépilotés
17-3024,Robotics Testing Technician,Technicien d'essais robotiques
17-3024,Unmanned Air Systems Operator,Opérateur de systèmes aériens sans pilote
17-3025,Air Analysis Engineering Technician,Technicien en génie de l'analyse de l'air
17-3025,Environmental Remediation Engineering Technician,Technicien en génie de l'assainissement de l'environnement
17-3025,Pollution Control Engineering Technician,Technicien en ingénierie du contrôle de la pollution
17-3026,Motion Study Technician,Technicien en étude de mouvement
17-3026,Production Control Technologist,Technologue en contrôle de la production
17-3026,Time Study Technician,Technicien d'étude du temps
17-3027,Gyroscopic Engineering Technician,Technicien en génie gyroscopique
17-3027,Heat Transfer Technician,Technicien en transfert de chaleur
17-3027,Optomechanical Technician,Technicien optomécanicien
17-3028,Calibration Technician,Technicien d'étalonnage
17-3028,Calibration Technologist,Technologue en étalonnage
17-3028,Hydrometer Calibrator,Calibrateur d'hydromètre
17-3029,Agricultural Engineering Technician,Technicien en génie agricole
17-3029,Biomedical Engineering Technician,Technicien en génie biomédical
17-3029,Metallurgical Engineering Technician,Technicien en génie métallurgique
17-3029,Optical Engineering Technician,Technicien en génie optique
17-3029,Radar Technicians,Techniciens radar
17-3029,Sonar Technicians,Techniciens sonar
17-3031,Cartographic Technician,Technicien cartographique
17-3031,Field Map Technician,Technicien en cartographie de terrain
17-3031,GIS Mapping Technician,Technicien en cartographie SIG
19-1011,Animal Nutritionist,Nutritionniste animalière
19-1011,Dairy Scientist,Scientifique laitier
19-1011,Poultry Scientist,Scientifique de la volaille
19-1012,Dairy Bacteriologist,Bactériologiste laitier
19-1012,Enologist,Œnologue
19-1012,Food Safety Scientist,Scientifique en salubrité des aliments
19-1013,Arboreal Scientist,Scientifique arboricole
19-1013,Horticulturist,Horticulteur
19-1013,Plant Physiologist,Physiologiste végétal
19-1021,Biological Chemist,Chimiste biologique
19-1021,Clinical Biochemist,Biochimiste clinique
19-1021,Physical Biochemist,Biochimiste physique
19-1022,Bacteriologist,Bactériologiste
19-1022,Public Health Microbiologist,Microbiologiste en santé publique
19-1022,Virologist,Virologue
19-1023,Herpetologist,Herpétologiste
19-1023,Ichthyologist,Ichtyologiste
19-1023,Marine Biologist,Biologiste marin
19-1023,Ornithologist,Ornithologue
19-1029,Embryologist,Embryologiste
19-1029,Osteologist,Ostéologue
19-1029,Paleobotanist,Paléobotaniste
19-1031,Grassland Conservationist,Conservateur des prairies
19-1031,Range Ecologist,Ecologiste de l'aire de répartition
19-1031,Soil Conservationist,Conservateur des sols
19-1032,Environmental Protection Forester,Forestier de protection de l'environnement
19-1032,Forest Ecologist,Écologiste forestier
19-1032,Timber Management Specialist,Spécialiste de la gestion du bois
19-1041,Epidemiology Investigator,Chercheur en épidémiologie
19-1041,Malariologist,Malariologiste
19-1041,Pharmacoepidemiologist,Pharmacoépidémiologiste
19-1042,Cancer Researcher,Chercheur sur le cancer
19-1042,Immunochemist,Immunochimiste
19-1042,Toxicologist,Toxicologue
19-1099,Life Science Taxonomist,Taxonomiste des sciences de la vie
19-2011,Astrophysicist,Astrophysicien
19-2011,Cosmologist,Cosmologiste
19-2012,Fluid Dynamicist,Dynamicien des fluides
19-2012,Molecular Physicist,Physicien moléculaire
19-2012,Optical Scientist,Scientifique en optique
19-2012,Rheologist,Rhéologue
19-2021,Atmospheric Chemist,Chimiste atmosphérique
19-2021,Climatologist,Climatologue
19-2021,Hurricane Tracker,Suivi des ouragans
19-2021,Meteorologist,Météorologiste
19-2031,Food Chemist,Chimiste alimentaire
19-2031,Industrial Chemist,Chimiste industriel
19-2031,Inorganic Chemist,Chimiste inorganique
19-2031,Research and Development Chemist,Chimiste en recherche et développement
19-2032,Metal Alloy Scientist,Scientifique des alliages métalliques
19-2032,Plastics Scientist,Scientifique des plastiques
19-2041,Hazardous Substances Scientist,Scientifique des substances dangereuses
19-2041,Health Environmentalist,Santé Environnementaliste
19-2041,Water Pollution Scientist,Scientifique spécialiste de la pollution de l'eau
19-2042,Geochemist,Géochimiste
19-2042,Oceanographer,Océanographe
19-2042,Petrologist,Pétrologue
19-2042,Volcanologist,Volcanologue
19-2043,Hydrogeologist,Hydrogéologue
19-2043,Isotope Hydrologist,Hydrologue isotopique
19-2043,Surface Hydrologist,Hydrologue de surface
19-3011,Econometrician,Économétricien
19-3011,Economic Research Analyst,Analyste en recherche économique
19-3011,Environmental Economist,Économiste de l'environnement
19-3011,Industrial Economist,Économiste industriel
19-3022,Pollster,Enquêteur
19-3022,Survey Methodologist,Méthodologiste d'enquête
19-3022,Survey Questionnaire Designer,Concepteur de questionnaires d'enquête
19-3032,Engineering Psychologist,Psychologue en ingénierie
19-3032,Human Resources Psychologist,Psychologue des ressources humaines
19-3032,Management Psychologist,Psychologue de gestion
19-3033,Eating Disorder Psychologists,Psychologues des troubles de l'alimentation
19-3033,Geropsychologists,Géropsychologues
19-3034,Educational Psychologists,Psychologues de l'éducation
19-3039,Forensic Psychologist,Psychologue médico-légal
19-3039,Social Psychologist,Psychologue social
19-3039,Sports Psychologist,Psychologue du sport
19-3041,Criminologist,Criminologue
19-3041,Family Sociologist,Sociologue de la famille
19-3041,Rural Sociologist,Sociologue rural
19-3051,City Planner,Urbaniste
19-3051,Community Development Planner,Planificateur du développement communautaire
19-3091,Ethnoarchaeologist,Ethnoarchéologue
19-3091,Political Anthropologist,Anthropologue politique
19-3091,Research Archaeologist,Archéologue de recherche
19-3092,Economic Geographer,Géographe économique
19-3092,Geomorphologist,Géomorphologue
19-3092,GIS Geographer,Géographe SIG
19-3092,Political Geographer,Géographe politique
19-3093,Genealogist,Généalogiste
19-3093,Historiographer,Historiographe
19-3093,Protohistorian,Protohistorien
19-3094,Government Affairs Specialist,Spécialiste des affaires gouvernementales
19-3094,Political Consultant,Consultant politique
19-3094,Political Research Scientist,Chercheur politique
19-3099,Demographer,Démographe
19-3099,Ethnologist,Ethnologue
19-3099,Linguist,Linguiste
19-4012,Feed Research Technician,Technicien en recherche sur les aliments pour animaux
19-4012,Seed Analyst,Analyste semences
19-4013,Flavor Technician,Technicien en arômes
19-4013,Food Quality Control Technician,Technicien en contrôle de la qualité des aliments
19-4013,Food Quality Technician,Technicien en qualité des aliments
19-4021,Bacteriology Technician,Technicien en bactériologie
19-4021,Marine Fisheries Technician,Technicien des pêches maritimes
19-4021,Wildlife Technician,Technicien de la faune
19-4031,Assayer,Essayeur
19-4031,Chemical Laboratory Technician,Technicien de laboratoire chimique
19-4031,Inorganic Chemical Technician,Technicien en chimie inorganique
19-4042,Certified Indoor Environmentalist,Environnementaliste d'intérieur certifié
19-4042,Environmental Science Technician,Technicien en sciences de l'environnement
19-4042,Infectious Waste Technician,Technicien en déchets infectieux
19-4042,Pollution Control Technician,Technicien en contrôle de la pollution
19-4043,Crude Tester,Testeur de brut
19-4043,Geophysical Prospector,Prospecteur géophysique
19-4043,Seismic Observer,Observateur sismique
